id,exerciseId,rating,ratingELO,classExamId
1,1719,,202,18
2,1744,,202,18
3,1780,,202,18
4,1862,,201,18
5,1977,,201,18
6,2141,,201,18
7,2149,,201,18
8,2154,,201,18
9,2156,,201,18
10,2205,,201,18
11,2230,,201,18
12,2236,,201,18
13,1738,,202,43
14,1765,,202,43
15,1774,,197,43
16,1785,,202,43
17,1872,,201,43
18,1922,,201,43
19,1961,,201,43
20,1990,,201,43
21,2003,,201,43
22,2014,,201,43
23,2159,,201,43
24,2201,,201,43
25,2223,,201,43
26,2229,,204,43
27,2233,,201,43
28,1810,,202,120
29,1823,,202,120
30,1832,,202,120
31,1852,,201,120
32,1930,,201,120
33,2104,,201,120
34,2120,,201,120
35,2183,,201,120
36,1714,,201,119
37,1780,,203,119
38,1788,,201,119
39,1871,,201,119
40,1926,,201,119
41,1992,,201,119
42,2181,,202,119
43,1715,,200,129
44,1729,,200,129
45,1775,,200,129
46,1785,,202,129
47,1794,,200,129
48,2003,,201,129
49,1712,,202,148
50,1850,,202,148
51,1852,,198,148
52,1887,,202,148
53,1912,,197,148
54,1954,,197,148
55,2014,,203,148
56,2015,,197,148
57,2016,,197,148
58,2032,,202,148
59,2036,,197,148
60,2037,,197,148
61,2051,,197,148
62,2090,,202,148
63,2158,,202,148
64,2159,,198,148
65,2160,,202,148
66,2233,,202,148
67,2234,,201,148
68,1841,,202,449
69,1913,,202,449
70,1998,,202,449
71,2109,,201,449
72,2201,,202,449
73,2236,,202,449
74,1743,,201,471
75,1745,,201,471
76,1758,,201,471
77,1774,,198,471
78,1785,,202,471
79,1792,,200,471
80,1955,,200,471
81,2038,,200,471
82,2041,,200,471
83,2045,,200,471
84,2100,,200,471
85,2166,,200,471
86,2236,,202,471
87,1759,,200,586
88,1763,,200,586
89,1844,,200,586
90,1865,,200,586
91,1885,,200,586
92,1893,,200,586
93,1905,,200,586
94,2006,,200,586
95,2007,,200,586
96,2047,,200,586
97,2104,,201,586
98,2112,,200,586
99,2116,,200,586
100,2142,,200,586
101,2157,,200,586
102,2186,,200,586
103,2213,,200,586
104,1858,,202,610
105,1870,,202,610
106,1986,,202,610
107,2005,,197,610
108,2188,,201,610
109,2210,,201,610
110,1824,,202,625
111,1844,,202,625
112,1933,,202,625
113,2011,,201,625
114,2056,,197,625
115,2166,,202,625
116,1712,,199,630
117,1817,,202,630
118,1850,,199,630
119,1887,,199,630
120,1912,,194,630
121,2014,,205,630
122,2015,,199,630
123,2506,,197,630
124,2032,,204,630
125,2090,,199,630
126,2119,,197,630
127,2158,,199,630
128,2159,,200,630
129,2160,,199,630
130,2228,,202,630
131,2230,,203,630
132,2234,,203,630
133,1758,,203,646
134,1798,,202,646
135,1847,,202,646
136,1927,,201,646
137,2033,,201,646
138,2097,,201,646
139,2157,,201,646
140,1716,,197,661
141,1724,,197,661
142,1730,,202,661
143,1760,,197,661
144,1784,,197,661
145,1792,,202,661
146,1920,,202,661
147,1967,,197,661
148,1974,,197,661
149,1982,,202,661
150,2007,,202,661
151,2502,,197,661
152,2506,,199,661
153,2054,,202,661
154,2100,,197,661
155,2104,,203,661
156,2171,,201,661
157,2181,,202,735
158,2194,,200,735
159,2203,,200,735
160,1727,,202,820
161,1728,,197,820
162,1773,,202,820
163,1810,,204,820
164,1862,,202,820
165,1948,,197,820
166,1951,,201,820
167,2040,,201,820
168,2080,,197,820
169,2089,,201,820
170,2190,,201,820
171,2213,,204,820
172,2217,,201,820
173,2218,,201,820
174,1723,,202,863
175,1789,,202,863
176,1806,,202,863
177,1860,,201,863
178,1944,,201,863
179,1954,,198,863
180,2115,,201,863
181,2119,,198,863
182,2213,,208,863
183,2223,,202,863
184,1731,,201,872
185,1805,,201,872
186,1940,,201,872
187,1949,,196,872
188,1988,,196,872
189,2107,,201,872
190,2140,,201,872
191,2146,,201,872
192,2210,,201,872
193,2213,,208,872
194,1716,,197,883
195,1812,,200,883
196,1829,,200,883
197,1851,,200,883
198,1894,,200,883
199,1952,,200,883
200,1982,,202,883
201,2503,,200,883
202,2048,,200,883
203,2100,,197,883
204,2105,,200,883
205,2120,,201,883
206,2163,,200,883
207,2169,,200,883
208,2229,,199,883
209,1842,,202,989
210,1946,,202,989
211,1949,,198,989
212,1950,,201,989
213,1978,,201,989
214,2049,,201,989
215,2057,,201,989
216,2125,,201,989
217,2183,,202,989
218,1781,,202,999
219,1848,,202,999
220,1868,,202,999
221,1906,,201,999
222,1927,,202,999
223,2031,,197,999
